"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"QPPP";"SPPP";"SPPPr";"SAPP";"QPPa";"QPPr";"QPA";"IPT"
"3725";"52001016104P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";10;0;0;0;0;0;0;0
"3726";"52001016105P3";"MEDICINA VETERINÁRIA";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"4";16;0;0;3;0;0;0,1875;0,0625
"3727";"52001016106P0";NA;NA;NA;NA;NA;NA;11;0;0;0;0;0;0;0
"3728";"52001016107P6";NA;NA;NA;NA;NA;NA;12;0;0;0;0;0;0;0
"3729";"52002012001P0";"PSICOLOGIA";"PARTICULAR";"PRIVADA";1999;"ACADÊMICO";"4";16;0;0;8;0;0;0,5;0,166666666666667
"3730";"52002012002P6";"TEOLOGIA";"PARTICULAR";"PRIVADA";1999;"ACADÊMICO";"5";11;0;0;0;0;0;0;0
"3731";"52002012004P9";"EDUCAÇÃO";"PARTICULAR";"PRIVADA";1999;"ACADÊMICO";"4";21;0;0;0;0;0;0;0
"3732";"52002012006P1";"INTERDISCIPLINAR";"PARTICULAR";"PRIVADA";2003;"ACADÊMICO";"3";17;0;0;0;0;0;0;0
"3733";"52002012007P8";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PARTICULAR";"PRIVADA";2006;"ACADÊMICO";"3";10;0;0;0;0;0;0;0
"3734";"52002012008P4";"CIÊNCIAS BIOLÓGICAS I";"PARTICULAR";"PRIVADA";2006;"ACADÊMICO";"3";12;0;0;0;0;0;0;0
"3735";"52002012010P9";"LETRAS / LINGUÍSTICA";"PARTICULAR";"PRIVADA";2006;"ACADÊMICO";"3";9;0;0;0;0;0;0;0
"3736";"52002012011P5";"SERVIÇO SOCIAL";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"3";9;0;0;0;0;0;0;0
"3737";"52002012013P8";"HISTÓRIA";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"3";11;0;0;1;0;0;0,0909090909090909;0,0303030303030303
"3738";"52002012015P0";"ENGENHARIAS III";"PARTICULAR";"PRIVADA";2010;"ACADÊMICO";"3";8;0;0;0;0;0;0;0
"3739";"52002012016P7";"ENFERMAGEM";"PARTICULAR";"PRIVADA";2013;"ACADÊMICO";"3";12;0;0;0;0;0;0;0
"3740";"52004015001P2";"CIÊNCIAS AGRÁRIAS I";"MUNICIPAL";"PÚBLICA";2004;"ACADÊMICO";"3";14;0;0;0;0;0;0;0
"3741";"52006018001P5";"CIÊNCIAS AMBIENTAIS";"PARTICULAR";"PRIVADA";2006;"ACADÊMICO";"3";16;0;1;0;0;0,0625;0;0,0208333333333333
"3742";"52012018001P1";"QUÍMICA";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"3";16;1;0;0;0,0625;0;0;0,0208333333333333
"3743";"52012018002P8";"CIÊNCIAS AGRÁRIAS I";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"3";11;0;0;0;0;0;0;0
"3744";"52012018003P4";"CIÊNCIAS AGRÁRIAS I";"ESTADUAL";"PÚBLICA";2012;"ACADÊMICO";"3";16;0;0;0;0;0;0;0
