"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI"
"2255";"41005015004P7";"CIÊNCIAS AMBIENTAIS";"PARTICULAR";"PRIVADA";2001;"ACADÊMICO";"4";0,75;0,571428571428571;0,625;0,515196078431372;0,615406162464986
"2256";"41005015005P3";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"PARTICULAR";"PRIVADA";2003;"ACADÊMICO";"5";0,533333333333333;0,325;0,520119802677942;0,496296296296296;0,468687358076893
"2257";"41005015006P0";"INTERDISCIPLINAR";"PARTICULAR";"PRIVADA";2003;"PROFISSIONAL";"3";0,666666666666667;0,604166666666667;0,607142857142857;0,560897435897436;0,609718406593406
"2258";"41005015007P6";"INTERDISCIPLINAR";"PARTICULAR";"PRIVADA";2001;"PROFISSIONAL";"3";0,897435897435897;0,557142857142857;0,633333333333333;0,406481481481481;0,623598392348392
"2259";"41005015008P2";"FARMÁCIA";"PARTICULAR";"PRIVADA";2001;"ACADÊMICO";"4";0,466666666666667;0,333333333333333;0,480092592592593;0,52156862745098;0,450415305010893
"2260";"41005015010P7";"CIÊNCIA DA COMPUTAÇÃO";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"4";0,476190476190476;0,571428571428571;0,685714285714286;0,348809523809524;0,520535714285714
"2261";"41005015011P3";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"PARTICULAR";"PRIVADA";2015;"PROFISSIONAL";"3";0,512820512820513;0,509803921568627;0,557142857142857;0,434313725490196;0,503520254255548
"2262";"41006011002P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"MUNICIPAL";"PÚBLICA";1997;"ACADÊMICO";"4";0,527777777777778;0,523809523809524;0,645138888888889;0,369230769230769;0,51648923992674
"2263";"41006011003P7";"CIÊNCIAS AMBIENTAIS";"MUNICIPAL";"PÚBLICA";1998;"ACADÊMICO";"4";0,805555555555555;0,58695652173913;0,512539682539683;0,576785714285714;0,620459368530021
"2264";"41006011004P3";"EDUCAÇÃO";"MUNICIPAL";"PÚBLICA";2001;"ACADÊMICO";"4";0,4375;0,6875;0,53;0,427631578947368;0,520657894736842
"2265";"41006011005P0";"QUÍMICA";"MUNICIPAL";"PÚBLICA";2002;"ACADÊMICO";"3";0,358974358974359;0,681818181818182;0,536904761904762;0,443589743589744;0,505321761571762
"2266";"41006011006P6";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"MUNICIPAL";"PÚBLICA";2000;"ACADÊMICO";"5";0,769230769230769;0,710526315789474;0,563656223358909;0,483333333333333;0,631686660428121
"2267";"41006011007P2";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"MUNICIPAL";"PÚBLICA";2005;"ACADÊMICO";"4";0,431372549019608;0,30952380952381;0,481237281237281;0,378703703703704;0,400209335871101
"2268";"41006011009P5";"ENGENHARIAS II";"MUNICIPAL";"PÚBLICA";2008;"ACADÊMICO";"3";0,296296296296296;0,794117647058823;0,486836441893831;0,461274509803922;0,509631223763218
"2269";"41006011011P0";"CIÊNCIAS AGRÁRIAS I";"MUNICIPAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,757575757575757;0,789473684210526;0,587509077705156;0,444791666666667;0,644837546539527
"2270";"41006011012P6";"SAÚDE COLETIVA";"MUNICIPAL";"PÚBLICA";2013;"PROFISSIONAL";"3";0,8;0,5;0,569444444444444;0,497395833333333;0,591710069444444
"2271";"41007018001P0";"EDUCAÇÃO";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"3";0,355555555555556;0,52;0,560541310541311;0,443137254901961;0,469808530249707
"2272";"41007018002P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"PARTICULAR";"PRIVADA";2013;"PROFISSIONAL";"3";0,538461538461538;0,428571428571429;0,550155279503106;0,444444444444444;0,490408172745129
"2273";"41007018004P0";"BIOTECNOLOGIA";"PARTICULAR";"PRIVADA";2013;"ACADÊMICO";"3";0,916666666666667;0,666666666666667;0,569088319088319;0,408796296296296;0,640304487179487
"2274";"41007018005P6";"INTERDISCIPLINAR";"PARTICULAR";"PRIVADA";2014;"ACADÊMICO";"3";0,928571428571428;0,557692307692308;0,59375;0,357843137254902;0,60946421837966
"2275";"41008014001P7";"LETRAS / LINGUÍSTICA";"PARTICULAR";"PRIVADA";2003;"ACADÊMICO";"4";0,574074074074074;0,5;0,507825854700855;0,397222222222222;0,494780537749288
"2276";"41008014002P3";"EDUCAÇÃO";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"3";0,515151515151515;0,692307692307692;0,593253968253968;0,522222222222222;0,580733849483849
"2277";"41008014003P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"PARTICULAR";"PRIVADA";2007;"ACADÊMICO";"3";0,595238095238095;0,5;0,583035714285714;0,444444444444444;0,530679563492064
"2278";"41008014004P6";"MEDICINA II";"PARTICULAR";"PRIVADA";2009;"ACADÊMICO";"4";0,647058823529412;0,441860465116279;0,546635610766046;0,525438596491228;0,540248373975741
"2279";"41009010001P3";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"MUNICIPAL";"PÚBLICA";2006;"ACADÊMICO";"3";1;0,566666666666667;0,642857142857143;0,412121212121212;0,655411255411255
"2280";"41015010001P0";"CIÊNCIAS AMBIENTAIS";"PARTICULAR";"PRIVADA";2001;"ACADÊMICO";"4";0,952380952380952;0,608695652173913;0,647058823529412;0,507017543859649;0,678788242985982
"2281";"41015010002P6";"EDUCAÇÃO";"PARTICULAR";"PRIVADA";2004;"ACADÊMICO";"3";0,615384615384615;0,548387096774194;0,501834130781499;0,491111111111111;0,539179238512855
"2282";"41015010003P2";"MEDICINA I";"PARTICULAR";"PRIVADA";2005;"ACADÊMICO";"6";0,4375;0,355555555555556;0,516376567471458;0,52;0,457358030756753
"2283";"41015010004P9";"ENGENHARIAS II";"PARTICULAR";"PRIVADA";2011;"ACADÊMICO";"3";0,814814814814815;0,333333333333333;0,593660968660969;0,410185185185185;0,537998575498575
"2284";"41015010006P1";"INTERDISCIPLINAR";"PARTICULAR";"PRIVADA";2014;"ACADÊMICO";"3";0,769230769230769;0,596491228070175;0,565196078431373;0,43;0,590229518933079
"2285";"41015010007P8";"SAÚDE COLETIVA";"PARTICULAR";"PRIVADA";2015;"PROFISSIONAL";"3";0,575757575757576;0,384615384615385;0,519738482981221;0,487179487179487;0,491822732633417
"2286";"41016017001P6";"CIÊNCIAS AMBIENTAIS";"PARTICULAR";"PRIVADA";2005;"ACADÊMICO";"3";0,833333333333333;0,533333333333333;0,85;0,423809523809524;0,660119047619048
"2287";"41016017002P2";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PARTICULAR";"PRIVADA";2010;"PROFISSIONAL";"3";0,909090909090909;0,515151515151515;0,566666666666667;0,442948717948718;0,608464452214452
