"";"CD_PROGRAMA_IES";"X1";"Count";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"Prof_Perm";"Soma_patentes";"Soma_produtos";"Soma_Aplicativos";"Forma_docente";"Forma_discente";"Colabora_cientifica";"CP";"Indice_MI";"Patente_prof";"Produto_prof";"App_prof";"Indice_PT";"new_indice_PT";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_MUNICIPIO_PROGRAMA_IES";"NM_AREA_CONHECIMENTO"
"15";"12001015002P7";15;15;3;0;1987;0;4;28;10;1;0;25;174603175;479110106;416666667;330094987;357142857;35714286;0;130952381;0,392857142857143;"NORTE";"AM";"UFAM";"MANAUS";"QU<cd>MICA"
"16";"12001015003P3";16;16;3;0;1995;0;4;15;1;0;0;422222222;3125;450932018;571296296;439237634;66666667;0;0;22222222;0,0666666666666667;"NORTE";"AM";"UFAM";"MANAUS";"AGRONOMIA"
"17";"12001015006P2";17;17;3;0;1999;0;3;12;0;0;0;444444444;578947368;479166667;465277778;491959064;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"F<cd>SICA"
"18";"12001015007P9";18;18;3;0;2000;0;4;21;0;0;0;777777778;519230769;528108466;529464286;588645325;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"CI<ca>NCIAS AMBIENTAIS"
"19";"12001015008P5";19;19;3;0;2000;0;3;10;0;0;0;4;575757576;575980392;438095238;497458302;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"GEOCI<ca>NCIAS"
"20";"12001015012P2";20;20;3;0;2001;0;5;26;0;1;21;346153846;285714286;529106029;394230769;388801233;0;38461538;807692308;282051282;0,846153846153846;"NORTE";"AM";"UFAM";"MANAUS";"CI<ca>NCIA DA COMPUTA<c7><c3>O"
"21";"12001015013P9";21;21;3;0;2001;0;4;27;12;2;0;567901235;326315789;498851706;427380952;455112421;444444444;74074074;0;172839506;0,518518518518518;"NORTE";"AM";"UFAM";"MANAUS";"BIOTECNOLOGIA"
"22";"12001015014P5";22;22;3;0;1998;0;3;26;0;0;0;58974359;35;520087732;489316239;48728689;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"INTERDISCIPLINAR"
"23";"12001015015P1";23;23;3;0;1998;0;4;24;0;0;0;25;558823529;557575758;5890625;488865447;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"MATEM<c1>TICA"
"24";"12001015016P8";24;24;3;0;2003;0;3;16;10;9;0;583333333;627906977;485745614;485087719;545518411;625;5625;0;395833333;1,1875;"NORTE";"AM";"UFAM";"MANAUS";"RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL"
"25";"12001015018P0";25;25;3;0;2005;0;3;12;0;0;0;722222222;447368421;666666667;563541667;599949744;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"INTERDISCIPLINAR"
"26";"12001015021P1";26;26;3;0;2005;0;3;9;0;2;7;333333333;576271186;439153439;292708333;410366573;0;222222222;777777778;333333333;1;"NORTE";"AM";"UFAM";"MANAUS";"ENGENHARIA EL<c9>TRICA"
"27";"12001015022P8";27;27;3;0;2006;0;3;8;0;0;0;625;472727273;444444444;378787879;480239899;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"ENGENHARIA CIVIL"
"28";"12001015023P4";28;28;3;0;2006;0;3;16;0;0;0;3125;3;536904762;462083333;402872024;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"HIST<d3>RIA"
"29";"12001015024P0";29;29;3;0;2007;0;3;14;0;0;0;452380952;459459459;587339744;447685185;486716335;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"SOCIOLOGIA"
"30";"12001015025P7";30;30;3;0;2007;0;3;15;0;0;0;511111111;421052632;681372549;506349206;529971375;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"RECURSOS PESQUEIROS E ENGENHARIA DE PESCA"
"31";"12001015026P3";31;31;3;0;2007;0;4;19;0;0;0;333333333;38961039;531746032;44122807;423979456;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"GEOGRAFIA"
"32";"12001015027P0";32;32;3;0;2007;0;3;13;0;0;0;538461538;71875;446924603;638690476;585706654;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"SERVI<c7>O SOCIAL"
"33";"12001015029P2";33;33;3;0;2008;0;4;16;0;0;0;479166667;5;66;508333333;536875;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"ANTROPOLOGIA"
"34";"12001015032P3";34;34;3;0;2008;0;3;16;0;0;0;729166667;756756757;526190476;561904762;643504665;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"COMUNICA<c7><c3>O"
"35";"12001015033P0";35;35;3;0;2009;0;3;16;7;1;0;729166667;578947368;5;465196078;568327528;4375;625;0;166666667;0,5;"NORTE";"AM";"UFAM";"MANAUS";"FARM<c1>CIA"
"36";"12001015034P6";36;36;3;0;2009;0;4;27;1;2;0;62962963;409090909;498550725;510353535;5119062;37037037;74074074;0;37037037;0,111111111111111;"NORTE";"AM";"UFAM";"MANAUS";"IMUNOLOGIA"
"37";"12001015035P2";37;37;3;0;2009;0;3;17;0;0;0;607843137;590361446;493055556;413157895;526104508;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"MATERIAIS"
"38";"12001015036P9";38;38;3;0;2009;0;3;12;0;0;0;388888889;491525424;573717949;396666667;462699732;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"PSICOLOGIA"
"39";"12001015037P5";39;39;3;0;2010;0;3;24;0;0;0;416666667;381818182;1;467283951;5664422;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"LETRAS"
"40";"12001015039P8";40;40;3;0;2013;0;3;12;0;0;0;805555556;692307692;983333333;620833333;775507479;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"MEDICINA"
"41";"12001015040P6";41;41;3;0;2012;0;3;14;0;0;0;523809524;78125;495833333;403070175;550990758;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"ODONTOLOGIA"
"42";"12001015041P2";42;42;3;0;2012;0;3;21;0;0;0;619047619;806451613;546328671;500333333;618040309;0;0;0;0;0;"NORTE";"AM";"UFAM";"ITACOATIARA";"CI<ca>NCIAS AMBIENTAIS"
"43";"12001015042P9";43;43;3;0;2014;0;3;18;0;1;0;722222222;553571429;1;485984848;690444625;0;55555556;0;18518519;0,0555555555555556;"NORTE";"AM";"UFAM";"MANAUS";"ENSINO"
"44";"12001015064P2";44;44;3;0;2015;0;3;19;0;0;0;666666667;648648649;1;538157895;713368303;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"CI<ca>NCIAS AMBIENTAIS"
"45";"12001015066P5";45;45;3;0;2016;0;3;17;0;0;0;568627451;475;722222222;388636364;538621509;0;0;0;0;0;"NORTE";"AM";"UFAM";"MANAUS";"ZOOTECNIA"
"46";"12008010001P9";46;46;2;0;2002;0;5;25;0;0;0;48;358974359;538715487;494761905;468112938;0;0;0;0;0;"NORTE";"AM";"UEA";"MANAUS";"MEDICINA"
"47";"12008010002P5";47;47;2;0;2003;0;3;12;0;0;0;5;392156863;975;425;573039216;0;0;0;0;0;"NORTE";"AM";"UEA";"MANAUS";"DIREITO"
"48";"12008010003P1";48;48;2;0;2003;0;3;15;4;0;1;644444444;575;55;411111111;545138889;266666667;0;66666667;111111111;0,333333333333333;"NORTE";"AM";"UEA";"MANAUS";"BIOTECNOLOGIA"
"49";"12008010005P4";49;49;2;0;2011;0;4;10;0;0;0;766666667;433962264;833333333;48452381;629621518;0;0;0;0;0;"NORTE";"AM";"UEA";"MANAUS";"ENSINO"
"50";"12008010007P7";50;50;2;0;2012;1;3;14;0;0;0;738095238;586956522;659090909;487916667;618014834;0;0;0;0;0;"NORTE";"AM";"UEA";"MANAUS";"INTERDISCIPLINAR"
"51";"12008010008P3";51;51;2;0;2013;0;3;15;0;0;2;622222222;76;490675991;463235294;584033377;0;0;133333333;44444444;0,133333333333333;"NORTE";"AM";"UEA";"MANAUS";"MEDICINA"
"52";"12008010039P6";52;52;2;0;2015;0;3;15;0;0;0;555555556;526315789;653125;424019608;539753988;0;0;0;0;0;"NORTE";"AM";"UEA";"MANAUS";"LETRAS"
"53";"12008010070P0";53;53;2;0;2016;0;3;16;0;0;0;625;762711864;596813725;462301587;611706794;0;0;0;0;0;"NORTE";"AM";"UEA";"MANAUS";"INTERDISCIPLINAR"
"54";"13003011001P6";54;54;2;0;2012;1;3;14;0;0;0;666666667;425925926;524343186;460555556;519372833;0;0;0;0;0;"NORTE";"RR";"UERR";"BOA VISTA";"ENSINO"
"55";"14001012001P6";55;55;3;0;2006;0;3;19;0;0;0;736842105;704918033;578947368;513888889;633649099;0;0;0;0;0;"NORTE";"AP";"UNIFAP";"MACAP<c1>";"PLANEJAMENTO URBANO E REGIONAL"
"56";"14001012004P5";56;56;3;0;2010;0;3;20;1;0;0;716666667;412371134;572337821;604807692;576545829;5;0;0;16666667;0,05;"NORTE";"AP";"UNIFAP";"MACAP<c1>";"INTERDISCIPLINAR"
"57";"14001012005P1";57;57;3;0;2013;0;3;15;9;1;0;644444444;62745098;586666667;491666667;58755719;6;66666667;0;222222222;0,666666666666667;"NORTE";"AP";"UNIFAP";"MACAP<c1>";"FARM<c1>CIA"
"58";"15001016002P5";58;58;3;0;1977;0;5;20;0;0;3;766666667;336283186;661210317;500347222;566126848;0;0;15;5;0,15;"NORTE";"PA";"UFPA";"BEL<c9>M";"INTERDISCIPLINAR"
"59";"15001016003P1";59;59;3;0;1984;0;4;31;0;0;0;258064516;280701754;552466555;521759259;403248021;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"DIREITO"
"60";"15001016004P8";60;60;3;0;1986;0;5;20;26;0;4;383333333;230769231;638888889;457440476;427607982;1;0;2;4;1,5;"NORTE";"PA";"UFPA";"BEL<c9>M";"ENGENHARIA EL<c9>TRICA"
"61";"15001016007P7";61;61;3;0;1987;0;4;24;7;3;0;194444444;196969697;420454545;485648148;324379209;291666667;125;0;138888889;0,416666666666667;"NORTE";"PA";"UFPA";"BEL<c9>M";"QU<cd>MICA"
"62";"15001016008P3";62;62;3;0;1987;0;4;29;0;0;0;390804598;192090395;524358974;396388889;375910714;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"LETRAS"
"63";"15001016009P0";63;63;3;0;1987;0;5;11;0;1;3;303030303;247191011;444480519;331140351;331460546;0;90909091;272727273;121212121;0,363636363636364;"NORTE";"PA";"UFPA";"BEL<c9>M";"PSICOLOGIA"
"64";"15001016010P8";64;64;3;0;1992;0;3;12;3;7;0;416666667;490566038;450714286;416145833;443523206;25;583333333;0;277777778;0,833333333333333;"NORTE";"PA";"UFPA";"BEL<c9>M";"ENGENHARIA QU<cd>MICA"
"65";"15001016015P0";65;65;3;0;1994;0;4;17;0;0;0;529411765;302083333;571701389;588257576;497863516;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"MEDICINA"
"66";"15001016016P6";66;66;3;0;1992;0;4;11;0;0;0;393939394;275862069;467592593;468452381;401461609;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"GEOCI<ca>NCIAS"
"67";"15001016018P9";67;67;3;0;1994;0;3;17;4;0;0;274509804;386206897;482638889;45625;399901397;235294118;0;0;78431373;0,235294117647059;"NORTE";"PA";"UFPA";"BEL<c9>M";"ENGENHARIA MEC<c2>NICA"
"68";"15001016022P6";68;68;3;0;1996;0;4;25;0;0;0;333333333;98039216;454185166;439722222;331319984;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"ZOOLOGIA"
"69";"15001016027P8";69;69;3;0;2000;0;3;15;0;0;0;733333333;545454545;585825163;559126984;605935007;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"INTERDISCIPLINAR"
"70";"15001016028P4";70;70;3;0;1999;0;4;21;1;0;0;492063492;372093023;486123512;376602564;431720648;47619048;0;0;15873016;0,0476190476190476;"NORTE";"PA";"UFPA";"CASTANHAL";"ZOOTECNIA"
"71";"15001016030P9";71;71;3;0;2000;0;4;18;0;0;0;518518519;257575758;497905526;486458333;440114534;0;0;0;0;0;"NORTE";"PA";"UFPA";"BRAGAN<c7>A";"OCEANOGRAFIA"
"72";"15001016031P5";72;72;3;0;1999;0;4;11;0;0;1;606060606;231884058;427083333;434027778;424763944;0;0;90909091;3030303;0,0909090909090909;"NORTE";"PA";"UFPA";"BEL<c9>M";"ENGENHARIA CIVIL"
"73";"15001016032P1";73;73;3;0;2001;0;6;19;3;1;4;333333333;316666667;532401522;502298851;421175093;157894737;52631579;210526316;140350877;0,421052631578947;"NORTE";"PA";"UFPA";"BEL<c9>M";"GEN<c9>TICA"
"74";"15001016033P8";74;74;3;0;2001;0;4;21;0;0;2;492063492;30952381;547619048;494252874;460864806;0;0;95238095;31746032;0,0952380952380952;"NORTE";"PA";"UFPA";"BEL<c9>M";"ENSINO"
"75";"15001016034P4";75;75;3;0;2002;0;4;22;0;0;0;454545455;360465116;588235294;41882716;455518256;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"SOCIOLOGIA"
"76";"15001016035P0";76;76;3;0;2003;0;4;24;0;1;0;430555556;252873563;546246246;413978495;410913465;0;41666667;0;13888889;0,0416666666666667;"NORTE";"PA";"UFPA";"BEL<c9>M";"EDUCA<c7><c3>O"
"77";"15001016036P7";77;77;3;0;1996;0;4;11;0;0;0;454545455;525;599603175;512777778;522981602;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"SERVI<c7>O SOCIAL"
"78";"15001016037P3";78;78;3;0;2002;0;4;14;19;0;1;166666667;111111111;454971875;515686275;312108982;1;0;71428571;357142857;1,42857142857143;"NORTE";"PA";"UFPA";"BEL<c9>M";"F<cd>SICA"
"79";"15001016039P6";79;79;3;0;2003;0;3;14;1;1;1;380952381;125;431060606;433333333;34258658;71428571;71428571;71428571;71428571;0,214285714285714;"NORTE";"PA";"UFPA";"BEL<c9>M";"ODONTOLOGIA"
"80";"15001016040P4";80;80;3;0;2004;0;5;23;0;3;0;434782609;315789474;489224664;4875;431824187;0;130434783;0;43478261;0,130434782608696;"NORTE";"PA";"UFPA";"BEL<c9>M";"MICROBIOLOGIA"
"81";"15001016041P0";81;81;3;0;2004;0;4;16;0;0;2;354166667;452380952;75;6275;546011905;0;0;125;41666667;0,125;"NORTE";"PA";"UFPA";"BEL<c9>M";"MATEM<c1>TICA"
"82";"15001016042P7";82;82;3;0;2004;0;4;14;0;0;0;5;415384615;566666667;422916667;476241987;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"GEOGRAFIA"
"83";"15001016043P3";83;83;3;0;2004;0;5;20;0;0;0;433333333;244186047;463353133;382;380718128;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"HIST<d3>RIA"
"84";"15001016044P0";84;84;3;0;2004;0;4;28;3;8;0;380952381;255813953;561111111;483095238;420243171;107142857;285714286;0;130952381;0,392857142857143;"NORTE";"PA";"UFPA";"BEL<c9>M";"FISIOLOGIA"
"85";"15001016045P6";85;85;3;0;2005;0;4;14;0;0;2;666666667;222222222;529166667;485;475763889;0;0;142857143;47619048;0,142857142857143;"NORTE";"PA";"UFPA";"BEL<c9>M";"PSICOLOGIA"
"86";"15001016046P2";86;86;3;0;2005;0;4;19;0;0;0;649122807;465517241;578104575;475724638;542117315;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"CI<ca>NCIAS AMBIENTAIS"
"87";"15001016047P9";87;87;3;0;2005;0;4;20;0;0;3;366666667;410526316;626190476;354545455;439482228;0;0;15;5;0,15;"NORTE";"PA";"UFPA";"BEL<c9>M";"CI<ca>NCIA DA COMPUTA<c7><c3>O"
"88";"15001016049P1";88;88;3;0;2006;0;3;17;9;0;0;470588235;553191489;614285714;531818182;542470905;529411765;0;0;176470588;0,529411764705882;"NORTE";"PA";"UFPA";"BEL<c9>M";"FARM<c1>CIA"
"89";"15001016050P0";89;89;3;0;2006;0;4;12;0;0;2;5;509433962;575;393333333;494441824;0;0;166666667;55555556;0,166666666666667;"NORTE";"PA";"UFPA";"BEL<c9>M";"ECONOMIA"
"90";"15001016051P6";90;90;3;0;2006;0;4;16;7;1;1;520833333;264705882;403333333;415196078;401017157;4375;625;625;1875;0,5625;"NORTE";"PA";"UFPA";"BEL<c9>M";"ENGENHARIA MEC<c2>NICA"
"91";"15001016052P2";91;91;3;0;2007;0;4;19;0;0;0;578947368;3125;552831403;455555556;474958582;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"ECOLOGIA"
"92";"15001016053P9";92;92;3;0;2008;0;3;9;0;0;0;555555556;653061224;6;496794872;576352913;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"CI<ca>NCIA POL<cd>TICA"
"93";"15001016055P1";93;93;3;0;2009;0;4;18;0;2;0;685185185;494382022;732222222;351893939;565920842;0;111111111;0;37037037;0,111111111111111;"NORTE";"PA";"UFPA";"BEL<c9>M";"ARTES"
"94";"15001016057P4";94;94;3;0;2009;0;4;14;0;0;0;404761905;642857143;461242005;474122807;495745965;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"MEDICINA VETERIN<c1>RIA"
"95";"15001016059P7";95;95;3;0;2008;1;4;15;1;1;0;844444444;609195402;619588123;508333333;645390326;66666667;66666667;0;44444444;0,133333333333333;"NORTE";"PA";"UFPA";"BEL<c9>M";"INTERDISCIPLINAR"
"96";"15001016060P5";96;96;3;0;2010;0;4;18;0;2;0;62962963;513513514;563043478;427083333;533317489;0;111111111;0;37037037;0,111111111111111;"NORTE";"PA";"UFPA";"BEL<c9>M";"ANTROPOLOGIA"
"97";"15001016062P8";97;97;3;0;2010;0;3;15;0;0;0;777777778;277777778;559861111;439814815;51380787;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"COMUNICA<c7><c3>O"
"98";"15001016063P4";98;98;3;0;2010;0;3;13;1;0;0;666666667;347826087;57878712;398076923;497839199;76923077;0;0;25641026;0,0769230769230769;"NORTE";"PA";"UFPA";"BEL<c9>M";"ARQUITETURA E URBANISMO"
"99";"15001016064P0";99;99;3;0;2011;1;3;23;0;0;0;449275362;283783784;623737374;520138889;469233852;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"MEDICINA"
"100";"15001016065P7";100;100;3;0;2011;1;3;15;0;0;0;6;58;688020833;442083333;577526042;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"INTERDISCIPLINAR"
"101";"15001016066P3";101;101;3;0;2011;0;3;12;0;0;0;416666667;386363636;944444444;463095238;552642496;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"ENFERMAGEM"
"102";"15001016067P0";102;102;3;0;2011;0;3;22;0;0;0;53030303;409090909;720238095;558333333;554491342;0;0;0;0;0;"NORTE";"PA";"UFPA";"BRAGAN<c7>A";"LETRAS"
"103";"15001016068P6";103;103;3;0;2011;0;4;18;5;0;3;574074074;548387097;586538056;430434783;534858502;277777778;0;166666667;148148148;0,444444444444444;"NORTE";"PA";"UFPA";"BEL<c9>M";"BIOTECNOLOGIA"
"104";"15001016070P0";104;104;3;0;2011;0;3;9;0;0;0;296296296;733333333;1;516025641;636413818;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"FILOSOFIA"
"105";"15001016071P7";105;105;3;0;2011;0;4;22;0;0;3;46969697;379310345;535974837;455128205;460027589;0;0;136363636;45454545;0,136363636363636;"NORTE";"PA";"UFPA";"BEL<c9>M";"MEDICINA"
"106";"15001016072P3";106;106;3;0;2012;1;3;15;0;0;0;533333333;567164179;610119048;511666667;555570807;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"ENGENHARIA MEC<c2>NICA"
"107";"15001016073P0";107;107;3;0;2012;1;3;14;1;0;0;833333333;625;75;471568627;66997549;71428571;0;0;23809524;0,0714285714285714;"NORTE";"PA";"UFPA";"BEL<c9>M";"ADMINISTRA<c7><c3>O"
"108";"15001016075P2";108;108;3;0;2013;1;3;17;5;0;0;470588235;324909747;485726496;507142857;447091834;294117647;0;0;98039216;0,294117647058824;"NORTE";"PA";"UFPA";"BEL<c9>M";"ENGENHARIA MEC<c2>NICA"
"109";"15001016076P9";109;109;3;0;2012;1;3;14;5;5;0;452380952;385093168;707222222;532017544;519178472;357142857;357142857;0;238095238;0,714285714285714;"NORTE";"PA";"UFPA";"BEL<c9>M";"CI<ca>NCIAS AMBIENTAIS"
"110";"15001016077P5";110;110;3;0;2013;1;4;20;0;5;0;433333333;703703704;6;538194444;56880787;0;25;0;83333333;0,25;"NORTE";"PA";"UFPA";"BEL<c9>M";"BIOLOGIA GERAL"
"111";"15001016078P1";111;111;3;0;2014;1;4;23;0;3;1;449275362;53030303;530092593;5475;514292746;0;130434783;43478261;57971014;0,173913043478261;"NORTE";"PA";"UFPA";"BEL<c9>M";"ENSINO"
"112";"15001016079P8";112;112;3;0;2014;0;3;12;1;0;0;861111111;46969697;608695652;441666667;5952926;83333333;0;0;27777778;0,0833333333333333;"NORTE";"PA";"UFPA";"BEL<c9>M";"SA<da>DE COLETIVA"
"113";"15001016080P6";113;113;3;0;2015;1;3;10;1;0;0;733333333;7;625;431349206;622420635;1;0;0;33333333;0,1;"NORTE";"PA";"UFPA";"BEL<c9>M";"GEOCI<ca>NCIAS"
"114";"15001016081P2";114;114;3;0;2014;0;3;16;0;0;0;645833333;583333333;672619048;413888889;578918651;0;0;0;0;0;"NORTE";"PA";"UFPA";"ALTAMIRA";"ECOLOGIA"
"115";"15001016082P9";115;115;3;0;2014;0;3;17;0;0;0;470588235;37804878;1;451315789;574988201;0;0;0;0;0;"NORTE";"PA";"UFPA";"CAMET<c1>";"EDUCA<c7><c3>O"
"116";"15001016084P1";116;116;3;0;2014;0;3;16;0;2;0;458333333;585365854;5;502777778;511619241;0;125;0;41666667;0,125;"NORTE";"PA";"UFPA";"BEL<c9>M";"PSICOLOGIA"
"117";"15001016085P8";117;117;3;0;2015;0;3;10;1;0;0;6;694444444;1;447727273;685542929;1;0;0;33333333;0,1;"NORTE";"PA";"UFPA";"BEL<c9>M";"ENGENHARIA NAVAL E OCE<c2>NICA"
"118";"15001016086P4";118;118;3;0;2015;0;3;17;3;0;0;392156863;821428571;611111111;548809524;593376517;176470588;0;0;58823529;0,176470588235294;"NORTE";"PA";"UFPA";"BEL<c9>M";"FARM<c1>CIA"
"119";"15001016089P3";119;119;3;0;2016;0;3;22;0;0;0;46969697;387096774;792013889;405128205;513483959;0;0;0;0;0;"NORTE";"PA";"UFPA";"BEL<c9>M";"EDUCA<c7><c3>O"
"120";"15001016091P8";120;120;3;0;2016;0;3;14;0;0;0;619047619;524590164;651098901;430555556;55632306;0;0;0;0;0;"NORTE";"PA";"UFPA";"TUCURU<cd>";"ENGENHARIA CIVIL"
"121";"15002012001P5";121;121;3;0;1995;0;4;18;0;0;0;425925926;285714286;458360172;400416667;392604263;0;0;0;0;0;"NORTE";"PA";"UFRA";"BEL<c9>M";"AGRONOMIA"
"122";"15002012005P0";122;122;3;0;2010;0;3;11;0;0;0;666666667;684210526;647321429;413461538;60291504;0;0;0;0;0;"NORTE";"PA";"UFRA";"BEL<c9>M";"RECURSOS PESQUEIROS E ENGENHARIA DE PESCA"
"123";"15002012006P7";123;123;3;0;2010;0;3;18;0;0;0;462962963;15;376515152;421969697;352861953;0;0;0;0;0;"NORTE";"PA";"UFRA";"BEL<c9>M";"MEDICINA VETERIN<c1>RIA"
"124";"15002012007P3";124;124;3;0;2012;0;3;11;1;0;0;696969697;823529412;551923077;469444444;635466658;90909091;0;0;3030303;0,0909090909090909;"NORTE";"PA";"UFRA";"BEL<c9>M";"BIOTECNOLOGIA"
