CD_PROGRAMA_IES;NM_REGIAO;SG_UF_PROGRAMA;SG_ENTIDADE_ENSINO;NM_MUNICIPIO_PROGRAMA_IES;NM_AREA_CONHECIMENTO
15001016016P6;NORTE;PA;UFPA;BELÉM;GEOCIÊNCIAS
15001016017P2;NORTE;PA;UFPA;BELÉM;GEOCIÊNCIAS
15001016018P9;NORTE;PA;UFPA;BELÉM;ENGENHARIA MECÂNICA
15001016022P6;NORTE;PA;UFPA;BELÉM;ZOOLOGIA
15001016027P8;NORTE;PA;UFPA;BELÉM;INTERDISCIPLINAR
15001016028P4;NORTE;PA;UFPA;CASTANHAL;ZOOTECNIA
15001016030P9;NORTE;PA;UFPA;BRAGANÇA;OCEANOGRAFIA
15001016031P5;NORTE;PA;UFPA;BELÉM;ENGENHARIA CIVIL
15001016032P1;NORTE;PA;UFPA;BELÉM;GENÉTICA
15001016033P8;NORTE;PA;UFPA;BELÉM;ENSINO
15001016034P4;NORTE;PA;UFPA;BELÉM;SOCIOLOGIA
15001016035P0;NORTE;PA;UFPA;BELÉM;EDUCAÇÃO
15001016036P7;NORTE;PA;UFPA;BELÉM;SERVIÇO SOCIAL
15001016037P3;NORTE;PA;UFPA;BELÉM;FÍSICA
15001016038P0;NORTE;PA;UFPA;BELÉM;CIÊNCIA E TECNOLOGIA DE ALIMENTOS
15001016039P6;NORTE;PA;UFPA;BELÉM;ODONTOLOGIA
15001016040P4;NORTE;PA;UFPA;BELÉM;MICROBIOLOGIA
15001016041P0;NORTE;PA;UFPA;BELÉM;MATEMÁTICA
15001016042P7;NORTE;PA;UFPA;BELÉM;GEOGRAFIA
15001016043P3;NORTE;PA;UFPA;BELÉM;HISTÓRIA
15001016044P0;NORTE;PA;UFPA;BELÉM;FISIOLOGIA
15001016045P6;NORTE;PA;UFPA;BELÉM;PSICOLOGIA
15001016046P2;NORTE;PA;UFPA;BELÉM;CIÊNCIAS AMBIENTAIS
15001016047P9;NORTE;PA;UFPA;BELÉM;CIÊNCIA DA COMPUTAÇÃO
15001016049P1;NORTE;PA;UFPA;BELÉM;FARMÁCIA
15001016050P0;NORTE;PA;UFPA;BELÉM;ECONOMIA
15001016051P6;NORTE;PA;UFPA;BELÉM;ENGENHARIA MECÂNICA
15001016052P2;NORTE;PA;UFPA;BELÉM;ECOLOGIA
15001016053P9;NORTE;PA;UFPA;BELÉM;CIÊNCIA POLÍTICA
