"";"CD_PROGRAMA_IES";"Count";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"Prof_Perm";"Soma_patentes";"Soma_produtos";"Soma_Aplicativos";"Forma_docente";"Forma_discente";"Colabora_cientifica";"CP";"Indice_MI";"Patente_prof";"Produto_prof";"App_prof";"Indice_PT";"new_indice_PT"
"946";"31003010073P1";946;3;0;2010;0;5;30;0;0;0;377777778;18556701;494802189;43;372036744;0;0;0;0;351,033333333333
"947";"31003010074P8";947;3;0;2010;0;5;32;0;0;0;395833333;235294118;448476703;389912281;367379109;0;0;0;0;329,09375
"948";"31003010075P4";948;3;0;2011;0;3;11;0;0;0;696969697;727272727;833333333;406111111;665921717;0;0;0;0;957,363636363636
"949";"31003010077P7";949;3;0;2011;0;3;17;0;3;2;450980392;480769231;748214286;395098039;518765487;0;176470588;117647059;98039216;619,470588235294
"950";"31003010078P3";950;3;0;2011;0;3;25;0;0;0;546666667;618181818;714285714;488793103;591981826;0;0;0;0;421,24
"951";"31003010079P0";951;3;0;2011;0;4;29;11;4;0;448275862;358208955;508333333;545833333;465162871;379310345;137931034;0;172413793;363,137931034483
"952";"31003010081P4";952;3;0;2011;0;3;16;0;0;0;25;675;576923077;420833333;480689103;0;0;0;0;658,1875
"953";"31003010082P0";953;3;0;2012;1;3;16;0;0;0;770833333;466666667;578571429;480555556;574156746;0;0;0;0;658,1875
"954";"31003010083P7";954;3;0;2011;1;3;13;0;17;0;538461538;227848101;50224359;375416667;410992474;0;1;0;333333333;810,076923076923
"955";"31003010084P3";955;3;0;2011;0;3;12;0;0;0;333333333;538461538;874537037;658854167;601296519;0;0;0;0;877,583333333333
"956";"31003010086P6";956;3;0;2013;1;3;16;0;0;2;791666667;442307692;602651515;415686275;563078037;0;0;125;41666667;658,1875
"957";"31003010087P2";957;3;0;2012;1;3;15;2;5;7;6;615384615;526094276;373148148;52865676;133333333;333333333;466666667;311111111;702,066666666667
"958";"31003010088P9";958;3;0;2013;0;3;15;0;0;0;644444444;4375;570075758;375925926;506986532;0;0;0;0;702,066666666667
"959";"31003010089P5";959;3;0;2012;0;3;31;2;1;3;677419355;544117647;613602484;497916667;583264038;64516129;32258065;96774194;64516129;339,709677419355
"960";"31003010090P3";960;3;0;2013;0;3;18;0;1;0;62962963;515625;833333333;485227273;615953809;0;55555556;0;18518519;585,055555555556
"961";"31003010091P0";961;3;0;2013;0;3;19;1;0;0;789473684;76744186;546666667;492753623;649083959;52631579;0;0;1754386;554,263157894737
"962";"31003010092P6";962;3;0;2013;1;3;16;0;0;1;583333333;389380531;596619048;4453125;503661353;0;0;625;20833333;658,1875
"963";"31003010094P9";963;3;0;2013;0;3;20;0;1;0;366666667;333333333;519122383;39384058;403240741;0;5;0;16666667;526,55
"964";"31003010095P5";964;3;0;2014;0;3;17;0;1;0;431372549;547619048;639479472;353174603;492911418;0;58823529;0;19607843;619,470588235294
"965";"31003010096P1";965;3;0;2014;0;4;18;0;0;0;574074074;578947368;595182292;543518519;572930563;0;0;0;0;585,055555555556
"966";"31003010097P8";966;3;0;2014;0;4;22;0;0;2;590909091;777777778;551904762;577536232;624531966;0;0;90909091;3030303;478,681818181818
"967";"31003010098P4";967;3;0;2015;1;3;14;0;0;0;785714286;509090909;75;505392157;637549338;0;0;0;0;752,214285714286
"968";"31003010156P4";968;3;0;2015;0;3;16;0;0;0;916666667;593220339;738636364;542708333;697807926;0;0;0;0;658,1875
"969";"31003010157P0";969;3;0;2015;0;3;13;0;0;0;846153846;692307692;8;59754902;73400264;0;0;0;0;810,076923076923
"970";"31003010170P7";970;3;0;2016;0;3;15;0;0;0;711111111;815789474;609848485;419047619;638949172;0;0;0;0;702,066666666667
"971";"31004016004P2";971;2;0;1974;0;7;32;0;0;5;4375;262773723;499440607;516666667;429095249;0;0;15625;52083333;329,09375
"972";"31004016006P5";972;2;0;1979;0;7;41;0;0;0;349593496;230769231;429417399;397093023;351718287;0;0;0;0;256,853658536585
"973";"31004016008P8";973;2;0;1982;0;5;15;1;0;0;177777778;142857143;462548103;568666667;337962423;66666667;0;0;22222222;702,066666666667
"974";"31004016009P4";974;2;0;1988;0;4;63;0;0;0;28042328;223350254;449594641;400655431;338505901;0;0;0;0;167,15873015873
"975";"31004016013P1";975;2;0;1991;0;5;16;0;0;2;604166667;188679245;503392094;363888889;415031724;0;0;125;41666667;658,1875
"976";"31004016015P4";976;2;0;1991;0;4;76;0;1;0;153508772;78947368;496198732;450333333;294747051;0;13157895;0;4385965;138,565789473684
"977";"31004016016P0";977;2;0;1992;0;5;26;0;0;0;205128205;324675325;5625;357777778;362520327;0;0;0;0;405,038461538462
"978";"31004016017P7";978;2;0;1993;0;4;13;0;0;0;487179487;526315789;496685606;465196078;49384424;0;0;0;0;810,076923076923
"979";"31004016018P3";979;2;0;1994;0;4;16;0;0;0;375;230769231;568965517;434166667;402225354;0;0;0;0;658,1875
"980";"31004016020P8";980;2;0;1994;0;5;25;0;0;0;373333333;306451613;503597993;494871795;419563684;0;0;0;0;421,24
"981";"31004016021P4";981;2;0;1995;0;5;19;3;0;25;50877193;361111111;491704545;421;445646897;157894737;0;1;385964912;554,263157894737
"982";"31004016023P7";982;2;0;1995;0;4;22;0;0;0;287878788;296296296;417857143;268452381;317621152;0;0;0;0;478,681818181818
"983";"31004016024P3";983;2;0;1995;0;5;24;0;0;0;277777778;23943662;558333333;347058824;355651639;0;0;0;0;438,791666666667
"984";"31004016026P6";984;2;0;1998;0;5;21;0;0;0;253968254;229508197;302521177;37;288999407;0;0;0;0;501,47619047619
"985";"31004016027P2";985;2;0;1998;0;4;11;0;0;0;515151515;152173913;45525641;41025641;383209562;0;0;0;0;957,363636363636
"986";"31004016028P9";986;2;0;1998;0;6;19;0;0;0;263157895;142857143;491666667;591666667;372337093;0;0;0;0;554,263157894737
"987";"31004016029P5";987;2;0;1997;0;7;33;0;0;0;333333333;163636364;459692029;533888889;372637654;0;0;0;0;319,121212121212
"988";"31004016031P0";988;2;0;1999;1;5;19;0;4;1;666666667;528571429;486810878;453030303;533769819;0;210526316;52631579;87719298;554,263157894737
